,Season,Klub,Poin,Goal_Scored,Goal_Conceede,GoalDegrees
0,2000/2001,Man United,80.0,79.0,31.0,48.0
1,2001/2002,Arsenal,87.0,79.0,36.0,43.0
2,2002/2003,Man United,83.0,74.0,34.0,40.0
3,2003/2004,Arsenal,90.0,73.0,26.0,47.0
4,2004/2005,Chelsea,95.0,72.0,15.0,57.0
5,2005/2006,Chelsea,91.0,72.0,22.0,50.0
6,2006/2007,Man United,89.0,83.0,27.0,56.0
7,2007/2008,Man United,87.0,80.0,22.0,58.0
8,2008/2009,Man United,90.0,68.0,24.0,44.0
9,2009/2010,Chelsea,86.0,103.0,32.0,71.0
10,2010/2011,Man United,80.0,78.0,37.0,41.0
11,2011/2012,Man City,89.0,93.0,29.0,64.0
12,2012/2013,Man United,89.0,86.0,43.0,43.0
13,2013/2014,Man City,86.0,102.0,37.0,65.0
14,2014/2015,Chelsea,87.0,73.0,32.0,41.0
15,2015/2016,Leicester,81.0,68.0,36.0,32.0
16,2016/2017,Chelsea,93.0,85.0,33.0,52.0
17,2017/2018,Man City,100.0,106.0,27.0,79.0
18,2018/2019,Man City,98.0,95.0,23.0,72.0
19,2019/2020,Liverpool,99.0,85.0,33.0,52.0
20,2020/2021,Man City,86.0,83.0,32.0,51.0
21,2021/2022,Man City,93.0,99.0,26.0,73.0
