,Season,Id,Rank,Klub,Poin,GoalScored,GoalConceeded,Win,Loss,Draw,GoalDegrees,WinPercentage,Keterangan
0,2000/2001,20200101.0,1.0,Man United,80.0,79.0,31.0,24.0,6.0,8.0,48.0,63.1578947368421,Juara+UCL
1,2000/2001,20200102.0,2.0,Arsenal,70.0,63.0,38.0,20.0,8.0,10.0,25.0,52.63157894736842,UCL
2,2000/2001,20200103.0,3.0,Liverpool,69.0,71.0,39.0,20.0,9.0,9.0,32.0,52.63157894736842,UCL
3,2000/2001,20200104.0,4.0,Leeds,68.0,64.0,43.0,20.0,10.0,8.0,21.0,52.63157894736842,UCL
4,2000/2001,20200105.0,5.0,Ipswich,66.0,57.0,42.0,20.0,12.0,6.0,15.0,52.63157894736842,UEL
5,2000/2001,20200106.0,6.0,Chelsea,61.0,68.0,45.0,17.0,11.0,10.0,23.0,44.73684210526316,UEL
6,2000/2001,20200107.0,7.0,Sunderland,57.0,46.0,41.0,15.0,11.0,12.0,5.0,39.473684210526315,Bertahan di EPL
7,2000/2001,20200108.0,8.0,Aston Villa,54.0,46.0,43.0,13.0,10.0,15.0,3.0,34.21052631578947,Bertahan di EPL
8,2000/2001,20200109.0,9.0,Charlton,52.0,50.0,57.0,14.0,14.0,10.0,-7.0,36.84210526315789,Bertahan di EPL
9,2000/2001,20200110.0,10.0,Southampton,52.0,40.0,48.0,14.0,14.0,10.0,-8.0,36.84210526315789,Bertahan di EPL
10,2000/2001,20200111.0,11.0,Newcastle,51.0,44.0,50.0,14.0,15.0,9.0,-6.0,36.84210526315789,Bertahan di EPL
11,2000/2001,20200112.0,12.0,Tottenham,49.0,47.0,54.0,13.0,15.0,10.0,-7.0,34.21052631578947,Bertahan di EPL
12,2000/2001,20200113.0,13.0,Leicester,48.0,39.0,51.0,14.0,18.0,6.0,-12.0,36.84210526315789,Bertahan di EPL
13,2000/2001,20200114.0,14.0,Middlesbrough,42.0,44.0,44.0,9.0,14.0,15.0,0.0,23.684210526315788,Bertahan di EPL
14,2000/2001,20200115.0,15.0,West Ham,42.0,45.0,50.0,10.0,16.0,12.0,-5.0,26.31578947368421,Bertahan di EPL
