,ID,Club,Poin,Goal_Scored,Goal_Conceeded,Goal_Degrees,Win,Loss,Draw,Season Participation
1,109,Man United,1698.0,1562.0,782.0,780.0,507.0,152.0,177.0,22.0
2,101,Chelsea,1665.0,1538.0,757.0,781.0,492.0,155.0,189.0,22.0
3,110,Arsenal,1603.0,1561.0,876.0,685.0,470.0,173.0,193.0,22.0
4,106,Liverpool,1591.0,1516.0,808.0,708.0,464.0,173.0,199.0,22.0
5,115,Man City,1440.0,1478.0,846.0,632.0,428.0,214.0,156.0,21.0
6,108,Tottenham,1370.0,1323.0,1011.0,312.0,393.0,252.0,191.0,22.0
7,114,Everton,1191.0,1102.0,1059.0,43.0,321.0,287.0,228.0,22.0
8,116,Newcastle,973.0,943.0,1100.0,-157.0,260.0,307.0,193.0,20.0
9,118,West Ham,895.0,908.0,1060.0,-152.0,238.0,303.0,181.0,19.0
10,119,Aston Villa,885.0,866.0,1009.0,-143.0,225.0,287.0,210.0,19.0
11,117,Southampton,704.0,698.0,803.0,-105.0,181.0,228.0,161.0,15.0
12,122,Fulham,640.0,631.0,831.0,-200.0,162.0,254.0,154.0,15.0
13,105,Leicester,554.0,583.0,592.0,-9.0,150.0,164.0,104.0,11.0
14,121,Blackburn,530.0,518.0,592.0,-74.0,140.0,168.0,110.0,11.0
15,107,Sunderland,520.0,520.0,795.0,-275.0,127.0,266.0,139.0,14.0
16,120,Bolton,506.0,495.0,613.0,-118.0,132.0,176.0,110.0,11.0
17,125,West Brom,490.0,510.0,772.0,-262.0,117.0,238.0,139.0,13.0
18,135,Stoke,457.0,398.0,525.0,-127.0,116.0,155.0,109.0,10.0
19,129,Crystal Palace,437.0,428.0,545.0,-117.0,115.0,173.0,92.0,10.0
20,113,Middlesbrough,383.0,366.0,459.0,-93.0,94.0,147.0,101.0,9.0
21,127,Wolves,348.0,328.0,462.0,-134.0,90.0,136.0,78.0,8.0
22,130,Wigan,331.0,316.0,482.0,-166.0,85.0,143.0,76.0,8.0
23,100,Charlton,325.0,301.0,386.0,-85.0,85.0,111.0,70.0,7.0
24,136,Burnley,325.0,300.0,455.0,-155.0,83.0,145.0,76.0,8.0
25,139,Swansea,312.0,306.0,383.0,-77.0,82.0,118.0,66.0,7.0
26,104,Leeds,311.0,319.0,349.0,-30.0,87.0,91.0,50.0,6.0
27,126,Portsmouth,302.0,292.0,380.0,-88.0,79.0,122.0,65.0,7.0
28,123,Birmingham,301.0,273.0,360.0,-87.0,73.0,111.0,82.0,7.0
29,133,Watford,261.0,275.0,441.0,-166.0,67.0,139.0,60.0,7.0
30,128,Norwich,234.0,251.0,489.0,-238.0,56.0,144.0,66.0,7.0
31,141,Bournemouth,211.0,241.0,330.0,-89.0,56.0,91.0,43.0,5.0
32,142,Brighton,209.0,190.0,258.0,-68.0,48.0,77.0,65.0,5.0
33,134,Hull,171.0,181.0,323.0,-142.0,41.0,101.0,48.0,5.0
34,131,Reading,119.0,136.0,186.0,-50.0,32.0,59.0,23.0,3.0
35,132,Sheffield United,115.0,91.0,157.0,-66.0,31.0,61.0,22.0,3.0
36,112,Ipswich,102.0,98.0,106.0,-8.0,29.0,32.0,15.0,2.0
37,138,QPR,92.0,115.0,199.0,-84.0,22.0,66.0,26.0,3.0
38,103,Derby,83.0,90.0,211.0,-121.0,19.0,69.0,26.0,3.0
39,140,Cardiff,64.0,66.0,143.0,-77.0,17.0,46.0,13.0,2.0
40,143,Huddersfield,53.0,50.0,134.0,-84.0,12.0,47.0,17.0,2.0
41,124,Midllesbrough,49.0,48.0,44.0,4.0,13.0,15.0,10.0,1.0
42,144,Brentford,46.0,48.0,56.0,-8.0,13.0,18.0,7.0,1.0
43,137,Blackpool,39.0,55.0,78.0,-23.0,10.0,19.0,9.0,1.0
44,102,Coventry,34.0,36.0,63.0,-27.0,8.0,20.0,10.0,1.0
45,111,Bradford,26.0,30.0,70.0,-40.0,5.0,22.0,11.0,1.0
