,Date,Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Score,HomeTeamPoin,AwayTeamPoin,HomeTeamResults,AwayTeamResults
0,2000-08-19,2000/2001,Charlton,Man City,4,0,4-0,3.0,0.0,Win,Loss
1,2000-08-19,2000/2001,Chelsea,West Ham,4,2,4-2,3.0,0.0,Win,Loss
2,2000-08-19,2000/2001,Coventry,Middlesbrough,1,3,1-3,0.0,3.0,Loss,Win
3,2000-08-19,2000/2001,Derby,Southampton,2,2,2-2,1.0,1.0,Draw,Draw
4,2000-08-19,2000/2001,Leeds,Everton,2,0,2-0,3.0,0.0,Win,Loss
5,2000-08-19,2000/2001,Leicester,Aston Villa,0,0,0-0,1.0,1.0,Draw,Draw
6,2000-08-19,2000/2001,Liverpool,Bradford,1,0,1-0,3.0,0.0,Win,Loss
7,2000-08-19,2000/2001,Sunderland,Arsenal,1,0,1-0,3.0,0.0,Win,Loss
8,2000-08-19,2000/2001,Tottenham,Ipswich,3,1,3-1,3.0,0.0,Win,Loss
9,2000-08-20,2000/2001,Man United,Newcastle,2,0,2-0,3.0,0.0,Win,Loss
10,2000-08-21,2000/2001,Arsenal,Liverpool,2,0,2-0,3.0,0.0,Win,Loss
11,2000-08-22,2000/2001,Bradford,Chelsea,2,0,2-0,3.0,0.0,Win,Loss
12,2000-08-22,2000/2001,Ipswich,Man United,1,1,1-1,1.0,1.0,Draw,Draw
13,2000-08-22,2000/2001,Middlesbrough,Tottenham,1,1,1-1,1.0,1.0,Draw,Draw
14,2000-08-23,2000/2001,Everton,Charlton,3,0,3-0,3.0,0.0,Win,Loss
15,2000-08-23,2000/2001,Man City,Sunderland,4,2,4-2,3.0,0.0,Win,Loss
16,2000-08-23,2000/2001,Newcastle,Derby,3,2,3-2,3.0,0.0,Win,Loss
17,2000-08-23,2000/2001,Southampton,Coventry,1,2,1-2,0.0,3.0,Loss,Win
18,2000-08-23,2000/2001,West Ham,Leicester,0,1,0-1,0.0,3.0,Loss,Win
19,2000-08-26,2000/2001,Arsenal,Charlton,5,3,5-3,3.0,0.0,Win,Loss
20,2000-08-26,2000/2001,Bradford,Leicester,0,0,0-0,1.0,1.0,Draw,Draw
21,2000-08-26,2000/2001,Everton,Derby,2,2,2-2,1.0,1.0,Draw,Draw
22,2000-08-26,2000/2001,Ipswich,Sunderland,1,0,1-0,3.0,0.0,Win,Loss
23,2000-08-26,2000/2001,Man City,Coventry,1,2,1-2,0.0,3.0,Loss,Win
24,2000-08-26,2000/2001,Middlesbrough,Leeds,1,2,1-2,0.0,3.0,Loss,Win
25,2000-08-26,2000/2001,Newcastle,Tottenham,2,0,2-0,3.0,0.0,Win,Loss
26,2000-08-26,2000/2001,Southampton,Liverpool,3,3,3-3,1.0,1.0,Draw,Draw
27,2000-08-26,2000/2001,West Ham,Man United,2,2,2-2,1.0,1.0,Draw,Draw
28,2000-08-27,2000/2001,Aston Villa,Chelsea,1,1,1-1,1.0,1.0,Draw,Draw
29,2000-05-09,2000/2001,Leeds,Man City,1,2,1-2,0.0,3.0,Loss,Win
30,2000-05-09,2000/2001,Man United,Bradford,6,0,6-0,3.0,0.0,Win,Loss
31,2000-05-09,2000/2001,Sunderland,West Ham,1,1,1-1,1.0,1.0,Draw,Draw
32,2000-05-09,2000/2001,Tottenham,Everton,3,2,3-2,3.0,0.0,Win,Loss
33,2000-06-09,2000/2001,Charlton,Southampton,1,1,1-1,1.0,1.0,Draw,Draw
34,2000-06-09,2000/2001,Chelsea,Arsenal,2,2,2-2,1.0,1.0,Draw,Draw
35,2000-06-09,2000/2001,Coventry,Newcastle,0,2,0-2,0.0,3.0,Loss,Win
36,2000-06-09,2000/2001,Derby,Middlesbrough,3,3,3-3,1.0,1.0,Draw,Draw
37,2000-06-09,2000/2001,Leicester,Ipswich,2,1,2-1,3.0,0.0,Win,Loss
38,2000-06-09,2000/2001,Liverpool,Aston Villa,3,1,3-1,3.0,0.0,Win,Loss
39,2000-09-09,2000/2001,Bradford,Arsenal,1,1,1-1,1.0,1.0,Draw,Draw
40,2000-09-09,2000/2001,Coventry,Leeds,0,0,0-0,1.0,1.0,Draw,Draw
41,2000-09-09,2000/2001,Ipswich,Aston Villa,1,2,1-2,0.0,3.0,Loss,Win
42,2000-09-09,2000/2001,Leicester,Southampton,1,0,1-0,3.0,0.0,Win,Loss
43,2000-09-09,2000/2001,Liverpool,Man City,3,2,3-2,3.0,0.0,Win,Loss
44,2000-09-09,2000/2001,Man United,Sunderland,3,0,3-0,3.0,0.0,Win,Loss
45,2000-09-09,2000/2001,Middlesbrough,Everton,1,2,1-2,0.0,3.0,Loss,Win
46,2000-09-09,2000/2001,Newcastle,Chelsea,0,0,0-0,1.0,1.0,Draw,Draw
47,2000-10-09,2000/2001,Derby,Charlton,2,2,2-2,1.0,1.0,Draw,Draw
48,2000-11-09,2000/2001,Tottenham,West Ham,1,0,1-0,3.0,0.0,Win,Loss
49,2000-09-16,2000/2001,Arsenal,Coventry,2,1,2-1,3.0,0.0,Win,Loss
50,2000-09-16,2000/2001,Aston Villa,Bradford,2,0,2-0,3.0,0.0,Win,Loss
51,2000-09-16,2000/2001,Charlton,Tottenham,1,0,1-0,3.0,0.0,Win,Loss
52,2000-09-16,2000/2001,Everton,Man United,1,3,1-3,0.0,3.0,Loss,Win
53,2000-09-16,2000/2001,Leeds,Ipswich,1,2,1-2,0.0,3.0,Loss,Win
54,2000-09-16,2000/2001,Southampton,Newcastle,2,0,2-0,3.0,0.0,Win,Loss
55,2000-09-16,2000/2001,Sunderland,Derby,2,1,2-1,3.0,0.0,Win,Loss
56,2000-09-17,2000/2001,Chelsea,Leicester,0,2,0-2,0.0,3.0,Loss,Win
57,2000-09-17,2000/2001,Man City,Middlesbrough,1,1,1-1,1.0,1.0,Draw,Draw
58,2000-09-17,2000/2001,West Ham,Liverpool,1,1,1-1,1.0,1.0,Draw,Draw
59,2000-09-23,2000/2001,Bradford,Southampton,0,1,0-1,0.0,3.0,Loss,Win
60,2000-09-23,2000/2001,Coventry,West Ham,0,3,0-3,0.0,3.0,Loss,Win
61,2000-09-23,2000/2001,Derby,Leeds,1,1,1-1,1.0,1.0,Draw,Draw
62,2000-09-23,2000/2001,Ipswich,Arsenal,1,1,1-1,1.0,1.0,Draw,Draw
63,2000-09-23,2000/2001,Liverpool,Sunderland,1,1,1-1,1.0,1.0,Draw,Draw
64,2000-09-23,2000/2001,Man United,Chelsea,3,3,3-3,1.0,1.0,Draw,Draw
65,2000-09-23,2000/2001,Middlesbrough,Aston Villa,1,1,1-1,1.0,1.0,Draw,Draw
66,2000-09-23,2000/2001,Newcastle,Charlton,0,1,0-1,0.0,3.0,Loss,Win
67,2000-09-23,2000/2001,Tottenham,Man City,0,0,0-0,1.0,1.0,Draw,Draw
68,2000-09-24,2000/2001,Leicester,Everton,1,1,1-1,1.0,1.0,Draw,Draw
69,2000-09-30,2000/2001,Aston Villa,Derby,4,1,4-1,3.0,0.0,Win,Loss
70,2000-09-30,2000/2001,Charlton,Coventry,2,2,2-2,1.0,1.0,Draw,Draw
71,2000-09-30,2000/2001,Everton,Ipswich,0,3,0-3,0.0,3.0,Loss,Win
72,2000-09-30,2000/2001,Leeds,Tottenham,4,3,4-3,3.0,0.0,Win,Loss
73,2000-09-30,2000/2001,Man City,Newcastle,0,1,0-1,0.0,3.0,Loss,Win
74,2000-09-30,2000/2001,Southampton,Middlesbrough,1,3,1-3,0.0,3.0,Loss,Win
75,2000-09-30,2000/2001,West Ham,Bradford,1,1,1-1,1.0,1.0,Draw,Draw
76,2000-01-10,2000/2001,Arsenal,Man United,1,0,1-0,3.0,0.0,Win,Loss
77,2000-01-10,2000/2001,Chelsea,Liverpool,3,0,3-0,3.0,0.0,Win,Loss
78,2000-01-10,2000/2001,Sunderland,Leicester,0,0,0-0,1.0,1.0,Draw,Draw
79,2000-10-14,2000/2001,Arsenal,Aston Villa,1,0,1-0,3.0,0.0,Win,Loss
80,2000-10-14,2000/2001,Coventry,Tottenham,2,1,2-1,3.0,0.0,Win,Loss
81,2000-10-14,2000/2001,Everton,Southampton,1,1,1-1,1.0,1.0,Draw,Draw
82,2000-10-14,2000/2001,Ipswich,West Ham,1,1,1-1,1.0,1.0,Draw,Draw
83,2000-10-14,2000/2001,Leeds,Charlton,3,1,3-1,3.0,0.0,Win,Loss
84,2000-10-14,2000/2001,Leicester,Man United,0,3,0-3,0.0,3.0,Loss,Win
85,2000-10-14,2000/2001,Man City,Bradford,2,0,2-0,3.0,0.0,Win,Loss
86,2000-10-14,2000/2001,Sunderland,Chelsea,1,0,1-0,3.0,0.0,Win,Loss
87,2000-10-15,2000/2001,Derby,Liverpool,0,4,0-4,0.0,3.0,Loss,Win
88,2000-10-16,2000/2001,Middlesbrough,Newcastle,1,3,1-3,0.0,3.0,Loss,Win
89,2000-10-21,2000/2001,Bradford,Ipswich,0,2,0-2,0.0,3.0,Loss,Win
90,2000-10-21,2000/2001,Charlton,Middlesbrough,1,0,1-0,3.0,0.0,Win,Loss
91,2000-10-21,2000/2001,Chelsea,Coventry,6,1,6-1,3.0,0.0,Win,Loss
92,2000-10-21,2000/2001,Liverpool,Leicester,1,0,1-0,3.0,0.0,Win,Loss
93,2000-10-21,2000/2001,Man United,Leeds,3,0,3-0,3.0,0.0,Win,Loss
94,2000-10-21,2000/2001,Newcastle,Everton,0,1,0-1,0.0,3.0,Loss,Win
95,2000-10-21,2000/2001,Tottenham,Derby,3,1,3-1,3.0,0.0,Win,Loss
96,2000-10-21,2000/2001,West Ham,Arsenal,1,2,1-2,0.0,3.0,Loss,Win
97,2000-10-22,2000/2001,Aston Villa,Sunderland,0,0,0-0,1.0,1.0,Draw,Draw
98,2000-10-23,2000/2001,Southampton,Man City,0,2,0-2,0.0,3.0,Loss,Win
99,2000-10-28,2000/2001,Arsenal,Man City,5,0,5-0,3.0,0.0,Win,Loss
100,2000-10-28,2000/2001,Aston Villa,Charlton,2,1,2-1,3.0,0.0,Win,Loss
101,2000-10-28,2000/2001,Chelsea,Tottenham,3,0,3-0,3.0,0.0,Win,Loss
102,2000-10-28,2000/2001,Ipswich,Middlesbrough,2,1,2-1,3.0,0.0,Win,Loss
103,2000-10-28,2000/2001,Leicester,Derby,2,1,2-1,3.0,0.0,Win,Loss
104,2000-10-28,2000/2001,Man United,Southampton,5,0,5-0,3.0,0.0,Win,Loss
105,2000-10-28,2000/2001,Sunderland,Coventry,1,0,1-0,3.0,0.0,Win,Loss
106,2000-10-28,2000/2001,West Ham,Newcastle,1,0,1-0,3.0,0.0,Win,Loss
107,2000-10-29,2000/2001,Bradford,Leeds,1,1,1-1,1.0,1.0,Draw,Draw
108,2000-10-29,2000/2001,Liverpool,Everton,3,1,3-1,3.0,0.0,Win,Loss
109,2000-04-11,2000/2001,Charlton,Bradford,2,0,2-0,3.0,0.0,Win,Loss
110,2000-04-11,2000/2001,Coventry,Man United,1,2,1-2,0.0,3.0,Loss,Win
111,2000-04-11,2000/2001,Leeds,Liverpool,4,3,4-3,3.0,0.0,Win,Loss
112,2000-04-11,2000/2001,Man City,Leicester,0,1,0-1,0.0,3.0,Loss,Win
113,2000-04-11,2000/2001,Middlesbrough,Arsenal,0,1,0-1,0.0,3.0,Loss,Win
114,2000-04-11,2000/2001,Newcastle,Ipswich,2,1,2-1,3.0,0.0,Win,Loss
115,2000-04-11,2000/2001,Southampton,Chelsea,3,2,3-2,3.0,0.0,Win,Loss
116,2000-04-11,2000/2001,Tottenham,Sunderland,2,1,2-1,3.0,0.0,Win,Loss
117,2000-05-11,2000/2001,Everton,Aston Villa,0,1,0-1,0.0,3.0,Loss,Win
118,2000-06-11,2000/2001,Derby,West Ham,0,0,0-0,1.0,1.0,Draw,Draw
119,2000-11-11,2000/2001,Arsenal,Derby,0,0,0-0,1.0,1.0,Draw,Draw
120,2000-11-11,2000/2001,Aston Villa,Tottenham,2,0,2-0,3.0,0.0,Win,Loss
121,2000-11-11,2000/2001,Bradford,Everton,0,1,0-1,0.0,3.0,Loss,Win
122,2000-11-11,2000/2001,Ipswich,Charlton,2,0,2-0,3.0,0.0,Win,Loss
123,2000-11-11,2000/2001,Leicester,Newcastle,1,1,1-1,1.0,1.0,Draw,Draw
124,2000-11-11,2000/2001,Man United,Middlesbrough,2,1,2-1,3.0,0.0,Win,Loss
125,2000-11-11,2000/2001,Sunderland,Southampton,2,2,2-2,1.0,1.0,Draw,Draw
126,2000-11-11,2000/2001,West Ham,Man City,4,1,4-1,3.0,0.0,Win,Loss
127,2000-12-11,2000/2001,Chelsea,Leeds,1,1,1-1,1.0,1.0,Draw,Draw
128,2000-12-11,2000/2001,Liverpool,Coventry,4,1,4-1,3.0,0.0,Win,Loss
129,2000-11-18,2000/2001,Charlton,Chelsea,2,0,2-0,3.0,0.0,Win,Loss
130,2000-11-18,2000/2001,Derby,Bradford,2,0,2-0,3.0,0.0,Win,Loss
131,2000-11-18,2000/2001,Everton,Arsenal,2,0,2-0,3.0,0.0,Win,Loss
132,2000-11-18,2000/2001,Leeds,West Ham,0,1,0-1,0.0,3.0,Loss,Win
133,2000-11-18,2000/2001,Man City,Man United,0,1,0-1,0.0,3.0,Loss,Win
134,2000-11-18,2000/2001,Middlesbrough,Leicester,0,3,0-3,0.0,3.0,Loss,Win
135,2000-11-18,2000/2001,Newcastle,Sunderland,1,2,1-2,0.0,3.0,Loss,Win
136,2000-11-18,2000/2001,Southampton,Aston Villa,2,0,2-0,3.0,0.0,Win,Loss
137,2000-11-19,2000/2001,Tottenham,Liverpool,2,1,2-1,3.0,0.0,Win,Loss
138,2000-11-20,2000/2001,Coventry,Ipswich,0,1,0-1,0.0,3.0,Loss,Win
139,2000-11-25,2000/2001,Charlton,Sunderland,0,1,0-1,0.0,3.0,Loss,Win
140,2000-11-25,2000/2001,Coventry,Aston Villa,1,1,1-1,1.0,1.0,Draw,Draw
141,2000-11-25,2000/2001,Derby,Man United,0,3,0-3,0.0,3.0,Loss,Win
142,2000-11-25,2000/2001,Everton,Chelsea,2,1,2-1,3.0,0.0,Win,Loss
143,2000-11-25,2000/2001,Man City,Ipswich,2,3,2-3,0.0,3.0,Loss,Win
144,2000-11-25,2000/2001,Middlesbrough,Bradford,2,2,2-2,1.0,1.0,Draw,Draw
145,2000-11-25,2000/2001,Southampton,West Ham,2,3,2-3,0.0,3.0,Loss,Win
146,2000-11-25,2000/2001,Tottenham,Leicester,3,0,3-0,3.0,0.0,Win,Loss
147,2000-11-26,2000/2001,Leeds,Arsenal,1,0,1-0,3.0,0.0,Win,Loss
148,2000-11-26,2000/2001,Newcastle,Liverpool,2,1,2-1,3.0,0.0,Win,Loss
149,2000-02-12,2000/2001,Arsenal,Southampton,1,0,1-0,3.0,0.0,Win,Loss
150,2000-02-12,2000/2001,Aston Villa,Newcastle,1,1,1-1,1.0,1.0,Draw,Draw
151,2000-02-12,2000/2001,Bradford,Coventry,2,1,2-1,3.0,0.0,Win,Loss
152,2000-02-12,2000/2001,Ipswich,Derby,0,1,0-1,0.0,3.0,Loss,Win
153,2000-02-12,2000/2001,Leicester,Leeds,3,1,3-1,3.0,0.0,Win,Loss
154,2000-02-12,2000/2001,Liverpool,Charlton,3,0,3-0,3.0,0.0,Win,Loss
155,2000-02-12,2000/2001,Man United,Tottenham,2,0,2-0,3.0,0.0,Win,Loss
156,2000-02-12,2000/2001,West Ham,Middlesbrough,1,0,1-0,3.0,0.0,Win,Loss
157,2000-03-12,2000/2001,Chelsea,Man City,2,1,2-1,3.0,0.0,Win,Loss
158,2000-04-12,2000/2001,Sunderland,Everton,2,0,2-0,3.0,0.0,Win,Loss
159,2000-09-12,2000/2001,Arsenal,Newcastle,5,0,5-0,3.0,0.0,Win,Loss
160,2000-09-12,2000/2001,Bradford,Tottenham,3,3,3-3,1.0,1.0,Draw,Draw
161,2000-09-12,2000/2001,Charlton,Man United,3,3,3-3,1.0,1.0,Draw,Draw
162,2000-09-12,2000/2001,Chelsea,Derby,4,1,4-1,3.0,0.0,Win,Loss
163,2000-09-12,2000/2001,Man City,Everton,5,0,5-0,3.0,0.0,Win,Loss
164,2000-09-12,2000/2001,Southampton,Leeds,1,0,1-0,3.0,0.0,Win,Loss
165,2000-09-12,2000/2001,Sunderland,Middlesbrough,1,0,1-0,3.0,0.0,Win,Loss
166,2000-09-12,2000/2001,West Ham,Aston Villa,1,1,1-1,1.0,1.0,Draw,Draw
167,2000-10-12,2000/2001,Coventry,Leicester,1,0,1-0,3.0,0.0,Win,Loss
168,2000-10-12,2000/2001,Liverpool,Ipswich,0,1,0-1,0.0,3.0,Loss,Win
169,2000-12-16,2000/2001,Aston Villa,Man City,2,2,2-2,1.0,1.0,Draw,Draw
170,2000-12-16,2000/2001,Derby,Coventry,1,0,1-0,3.0,0.0,Win,Loss
171,2000-12-16,2000/2001,Everton,West Ham,1,1,1-1,1.0,1.0,Draw,Draw
172,2000-12-16,2000/2001,Ipswich,Southampton,3,1,3-1,3.0,0.0,Win,Loss
173,2000-12-16,2000/2001,Leeds,Sunderland,2,0,2-0,3.0,0.0,Win,Loss
174,2000-12-16,2000/2001,Leicester,Charlton,3,1,3-1,3.0,0.0,Win,Loss
175,2000-12-16,2000/2001,Middlesbrough,Chelsea,1,0,1-0,3.0,0.0,Win,Loss
176,2000-12-16,2000/2001,Newcastle,Bradford,2,1,2-1,3.0,0.0,Win,Loss
177,2000-12-17,2000/2001,Man United,Liverpool,0,1,0-1,0.0,3.0,Loss,Win
178,2000-12-18,2000/2001,Tottenham,Arsenal,1,1,1-1,1.0,1.0,Draw,Draw
179,2000-12-22,2000/2001,Coventry,Southampton,1,1,1-1,1.0,1.0,Draw,Draw
180,2000-12-23,2000/2001,Charlton,Everton,1,0,1-0,3.0,0.0,Win,Loss
181,2000-12-23,2000/2001,Chelsea,Bradford,3,0,3-0,3.0,0.0,Win,Loss
182,2000-12-23,2000/2001,Derby,Newcastle,2,0,2-0,3.0,0.0,Win,Loss
183,2000-12-23,2000/2001,Leeds,Aston Villa,1,2,1-2,0.0,3.0,Loss,Win
184,2000-12-23,2000/2001,Leicester,West Ham,2,1,2-1,3.0,0.0,Win,Loss
185,2000-12-23,2000/2001,Liverpool,Arsenal,4,0,4-0,3.0,0.0,Win,Loss
186,2000-12-23,2000/2001,Man United,Ipswich,2,0,2-0,3.0,0.0,Win,Loss
187,2000-12-23,2000/2001,Sunderland,Man City,1,0,1-0,3.0,0.0,Win,Loss
